iter	RMSE
0	40647.25179
1	40622.40235
2	40579.39864
3	40505.15821
4	40444.8475
5	40389.16617
6	40353.55474
7	40295.51959
8	40293.5117
9	40232.19783
10	40170.15054
11	40125.14853
12	40108.73729
13	40014.83916
14	39983.46857
15	39917.11993
16	39885.41419
17	39849.40611
18	39768.86439
19	39767.17381
20	39721.02599
21	39655.03091
22	39635.9188
23	39553.31815
24	39485.66434
25	39453.58161
26	39416.80674
27	39394.26762
28	39297.06361
29	39297.03326
30	39280.16489
31	39210.24222
32	39175.9314
33	39132.15416
34	39015.34367
35	39010.04042
36	38943.15549
37	38943.11668
38	38857.71811
39	38818.30026
40	38734.48874
41	38665.96206
42	38624.1503
43	38590.124
44	38503.92926
45	38439.28771
46	38388.94097
47	38353.55272
48	38320.45845
49	38309.83585
50	38272.48802
51	38205.46448
52	38187.19311
53	38135.35071
54	38058.60524
55	38037.58411
56	37980.73005
57	37938.79987
58	37883.0033
59	37823.03255
60	37711.92829
61	37639.35248
62	37561.06834
63	37493.10427
64	37448.68136
65	37373.69693
66	37372.63365
67	37302.77267
68	37237.01739
69	37191.324
70	37150.59694
71	37040.80554
72	37038.62661
73	37006.90067
74	36981.50678
75	36932.53579
76	36916.31464
77	36875.76485
78	36829.74512
79	36727.96622
80	36635.90974
81	36572.37209
82	36556.95497
83	36510.15878
84	36485.25455
85	36461.72051
86	36437.46605
87	36416.62929
88	36394.13429
89	36322.61787
90	36322.35914
91	36223.41901
92	36222.82076
93	36203.50643
94	36203.48367
95	36144.27424
96	36109.55535
97	36092.80306
98	35994.36164
99	35984.54599
100	35984.53942
101	35942.39007
102	35886.47717
103	35834.89744
104	35811.44142
105	35756.35976
106	35749.90591
107	35749.89031
108	35711.05292
109	35676.17027
110	35646.54818
111	35610.8113
112	35559.58209
113	35499.74122
114	35499.1481
115	35451.23997
116	35445.38088
117	35386.88449
118	35386.87825
119	35370.51898
120	35319.65301
121	35253.3065
122	35195.59158
123	35188.97629
124	35187.78552
125	35187.09562
126	35099.70093
127	35067.46286
128	35026.32119
129	34969.93759
130	34969.93229
131	34946.42711
132	34922.38374
133	34915.52872
134	34904.31717
135	34898.07977
136	34887.96978
137	34887.96568
138	34857.87302
139	34798.39872
140	34757.40666
141	34753.26572
142	34747.08302
143	34747.07639
144	34729.32177
145	34729.31558
146	34709.77267
147	34699.29045
148	34669.88164
149	34563.89674
150	34559.98662
151	34545.9955
152	34502.14167
153	34425.55936
154	34412.9031
155	34358.86222
156	34316.58976
157	34307.44062
158	34290.2035
159	34277.5981
160	34274.23881
161	34270.32399
162	34218.33265
163	34208.983
164	34208.30367
165	34109.46234
166	34094.66044
167	34084.36065
168	34063.09791
169	34051.04631
170	34042.76125
171	34042.04644
172	34001.61748
173	33991.67446
174	33991.67255
175	33932.39195
176	33928.23251
177	33917.25267
178	33850.03099
179	33849.54182
180	33801.22869
181	33742.26974
182	33717.75532
183	33679.4735
184	33672.1279
185	33643.83354
186	33638.99383
187	33626.85417
188	33616.85895
189	33565.57786
190	33510.42943
191	33448.97088
192	33424.46097
193	33354.6923
194	33343.10869
195	33339.42289
196	33272.17308
197	33255.24909
198	33242.98092
199	33208.07683
200	33170.96311
201	33137.03614
202	33136.52254
203	33124.81877
204	33083.91452
205	33041.24384
206	32996.17907
207	32990.21853
208	32947.90502
209	32945.4896
210	32906.451
211	32892.49249
212	32892.10579
213	32881.8931
214	32832.99383
215	32768.94408
216	32708.70139
217	32702.15592
218	32648.53327
219	32628.06604
220	32548.17699
221	32542.06295
222	32496.15658
223	32487.54783
224	32462.20602
225	32354.79264
226	32273.84005
227	32247.95774
228	32197.7023
229	32186.16713
230	32177.74788
231	32160.87972
232	32156.66191
233	32154.80846
234	32107.53467
235	32092.25293
236	32086.5119
237	32081.60716
238	32079.99954
239	32078.9437
240	32066.71856
241	32055.36928
242	32025.88606
243	32011.99295
244	31988.23309
245	31976.14384
246	31974.12977
247	31929.67818
248	31908.36011
249	31896.77455
250	31873.7212
251	31863.68997
252	31840.19022
253	31804.19448
254	31795.78806
255	31771.16019
256	31715.33741
257	31664.94067
258	31653.89892
259	31604.85457
260	31588.08391
261	31554.85453
262	31484.13166
263	31480.14948
264	31465.74615
265	31447.49397
266	31445.9994
267	31440.03734
268	31420.48827
269	31414.86869
270	31393.36028
271	31387.01448
272	31378.5433
273	31358.89795
274	31352.99146
275	31351.14725
276	31308.18882
277	31281.64596
278	31272.90816
279	31262.9808
280	31219.54995
281	31193.76209
282	31168.63535
283	31162.63087
284	31143.56206
285	31132.58806
286	31128.64491
287	31120.706
288	31099.85881
289	31063.10173
290	31028.81402
291	31019.75748
292	31011.63236
293	30942.16823
294	30921.30594
295	30915.97281
296	30909.42902
297	30841.47189
298	30821.78664
299	30719.64804
300	30691.35097
301	30676.86683
302	30665.16941
303	30607.76294
304	30596.15551
305	30543.06325
306	30509.88629
307	30443.47008
308	30432.64572
309	30379.00131
310	30351.6048
311	30335.98766
312	30318.47283
313	30293.11571
314	30277.0936
315	30226.71477
316	30219.70283
317	30216.36381
318	30206.42256
319	30174.78569
320	30163.96025
321	30122.21582
322	30053.10625
323	30040.6932
324	30028.37583
325	30027.44005
326	29992.49175
327	29945.89983
328	29938.32155
329	29922.78192
330	29920.56366
331	29884.30278
332	29872.33342
333	29871.78758
334	29829.85232
335	29807.62592
336	29787.28486
337	29734.86618
338	29708.31487
339	29687.94015
340	29681.44082
341	29673.82381
342	29667.602
343	29666.97259
344	29664.04851
345	29647.05802
346	29574.93048
347	29569.751
348	29554.32237
349	29538.88714
350	29497.90406
351	29497.16937
352	29491.30601
353	29485.67946
354	29439.56563
355	29430.09452
356	29403.06767
357	29388.52373
358	29348.65263
359	29341.08096
360	29327.47424
361	29271.01815
362	29268.8522
363	29203.84665
364	29188.17823
365	29164.05954
366	29134.66415
367	29117.12324
368	29057.67551
369	29053.18512
370	29047.95999
371	29020.38254
372	28962.83053
373	28956.54131
