iter	Passed	Remaining
0	14	14856
1	42	21155
2	46	15360
3	57	14212
4	76	15246
5	89	14852
6	100	14187
7	121	15020
8	127	14059
9	145	14380
10	162	14618
11	170	14044
12	175	13323
13	178	12602
14	182	11967
15	191	11762
16	196	11369
17	206	11261
18	221	11428
19	225	11052
20	229	10701
21	239	10651
22	247	10505
23	259	10542
24	269	10522
25	274	10301
26	285	10279
27	289	10052
28	303	10172
29	305	9870
30	319	9983
31	334	10116
32	351	10287
33	354	10080
34	358	9897
35	363	9735
36	367	9573
37	370	9378
38	375	9250
39	385	9240
40	393	9204
41	406	9283
42	429	9559
43	439	9540
44	450	9558
45	463	9614
46	466	9451
47	474	9411
48	481	9352
49	498	9480
50	508	9455
51	531	9680
52	545	9755
53	560	9812
54	577	9929
55	591	9973
56	607	10046
57	621	10089
58	627	10003
59	639	10011
60	641	9881
61	644	9753
62	648	9638
63	660	9655
64	671	9658
65	689	9763
66	707	9850
67	720	9880
68	741	9999
69	758	10081
70	776	10165
71	792	10210
72	811	10298
73	828	10365
74	837	10333
75	895	10883
76	912	10934
77	936	11069
78	973	11352
79	991	11400
80	1057	11999
81	1069	11975
82	1115	12320
83	1119	12203
84	1123	12092
85	1181	12558
86	1217	12779
87	1249	12945
88	1252	12816
89	1268	12828
90	1272	12706
91	1294	12781
92	1305	12735
93	1324	12764
94	1331	12683
95	1344	12656
96	1347	12545
97	1351	12437
98	1357	12354
99	1366	12301
100	1369	12188
101	1383	12181
102	1387	12079
103	1395	12022
104	1398	11923
105	1411	11908
106	1416	11822
107	1417	11710
108	1428	11677
109	1444	11687
110	1461	11706
111	1483	11765
112	1510	11859
113	1523	11838
114	1529	11771
115	1536	11709
116	1544	11653
117	1549	11584
118	1550	11480
119	1552	11381
120	1555	11299
121	1565	11263
122	1586	11314
123	1599	11297
124	1601	11213
125	1604	11128
126	1609	11065
127	1617	11018
128	1624	10968
129	1634	10937
130	1636	10853
131	1640	10787
132	1648	10748
133	1651	10674
134	1658	10627
135	1661	10554
136	1667	10504
137	1670	10437
138	1681	10416
139	1686	10362
140	1697	10339
141	1701	10278
142	1710	10249
143	1712	10180
144	1721	10150
145	1724	10086
146	1737	10080
147	1746	10056
148	1760	10055
149	1767	10015
150	1771	9961
151	1782	9941
152	1787	9898
153	1797	9872
154	1804	9838
155	1807	9776
156	1811	9727
157	1816	9680
158	1819	9624
159	1822	9566
160	1826	9517
161	1827	9455
162	1831	9403
163	1840	9381
164	1843	9327
165	1845	9272
166	1853	9244
167	1867	9247
168	1876	9228
169	1889	9224
170	1897	9199
171	1909	9190
172	1931	9234
173	1946	9241
174	1961	9245
175	1978	9264
176	1995	9276
177	2026	9358
178	2046	9385
179	2058	9379
180	2081	9416
181	2093	9409
182	2101	9383
183	2107	9345
184	2110	9298
185	2115	9258
186	2118	9208
187	2121	9161
188	2124	9115
189	2131	9084
190	2138	9058
191	2143	9020
192	2152	8998
193	2165	8996
194	2176	8984
195	2182	8953
196	2192	8937
197	2197	8900
198	2203	8867
199	2206	8824
200	2209	8782
201	2222	8779
202	2227	8746
203	2240	8741
204	2248	8721
205	2255	8691
206	2263	8671
207	2274	8661
208	2282	8638
209	2296	8640
210	2305	8621
211	2314	8602
212	2329	8606
213	2350	8633
214	2365	8636
215	2374	8618
216	2378	8580
217	2381	8543
218	2384	8503
219	2394	8490
220	2398	8452
221	2408	8442
222	2418	8427
223	2427	8410
224	2440	8406
225	2449	8390
226	2463	8388
227	2475	8383
228	2483	8360
229	2494	8351
230	2501	8327
231	2511	8313
232	2522	8305
233	2529	8281
234	2535	8252
235	2538	8216
236	2545	8194
237	2556	8184
238	2558	8147
239	2573	8150
240	2590	8158
241	2599	8143
242	2611	8134
243	2621	8122
244	2636	8125
245	2639	8090
246	2643	8059
247	2658	8061
248	2661	8027
249	2665	7996
250	2672	7974
251	2678	7950
252	2684	7926
253	2696	7919
254	2703	7899
255	2714	7888
256	2718	7860
257	2731	7856
258	2741	7843
259	2748	7822
260	2751	7790
261	2761	7777
262	2768	7758
263	2772	7729
264	2775	7697
265	2782	7679
266	2789	7659
267	2794	7632
268	2796	7598
269	2806	7588
270	2821	7590
271	2831	7577
272	2839	7561
273	2847	7545
274	2860	7540
275	2876	7546
276	2888	7539
277	2900	7533
278	2913	7528
279	2922	7515
280	2940	7524
281	2966	7553
282	2976	7541
283	2983	7522
284	3002	7532
285	3009	7513
286	3019	7501
287	3028	7486
288	3033	7462
289	3043	7450
290	3055	7443
291	3067	7437
292	3074	7419
293	3083	7404
294	3087	7377
295	3090	7351
296	3093	7322
297	3101	7305
298	3112	7298
299	3120	7282
300	3129	7267
301	3133	7242
302	3140	7223
303	3144	7198
304	3146	7169
305	3149	7143
306	3152	7115
307	3155	7088
308	3158	7062
309	3161	7036
310	3164	7011
311	3175	7003
312	3183	6988
313	3191	6973
314	3201	6961
315	3214	6958
316	3217	6932
317	3224	6914
318	3230	6896
319	3238	6882
320	3240	6854
321	3243	6829
322	3247	6805
323	3251	6784
324	3254	6758
325	3263	6747
326	3267	6723
327	3278	6717
328	3287	6705
329	3300	6701
330	3307	6684
331	3314	6668
332	3324	6659
333	3336	6652
334	3347	6644
335	3353	6628
336	3362	6615
337	3365	6592
338	3369	6569
339	3373	6547
340	3375	6524
341	3378	6500
342	3380	6476
343	3382	6450
344	3397	6449
345	3400	6427
346	3412	6422
347	3419	6406
348	3421	6383
349	3429	6369
350	3436	6353
351	3447	6346
352	3458	6339
353	3470	6333
354	3490	6342
355	3501	6333
356	3516	6333
357	3524	6320
358	3530	6303
359	3535	6284
360	3540	6266
361	3548	6253
362	3560	6247
363	3568	6234
364	3580	6228
365	3585	6211
366	3590	6193
367	3601	6185
368	3614	6180
369	3625	6172
